LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID112932,112932,247,0.5387577414512634,1547.0,0.0,0.0,539.0,539,7.5,1,,136.64253393665157,162.0,0.0,189.0,30198.0,55.5569634037075,0.1485727252098933,0.6362942416023852
ID112935,112935,249,0.8277900815010071,932.7468629133363,492.5654736042963,0.0,539.0,539,7.5,1,,188.09049773755657,188.0,169.0,232.0,41568.0,10.188717031654734,0.016754565270202745,0.6084072535029881
ID112934,112934,242,0.7459577322006226,508.92356715413905,486.18211469340514,0.0,539.0,539,7.5,1,,184.93665158371041,185.0,164.0,220.0,40871.0,9.726513231689768,0.016795877686454196,0.6281519760731274
ID112937,112937,1,1.0615906715393066,463.7897552573058,575.3226214189822,0.0,539.0,539,7.5,1,,189.2941176470588,189.0,165.0,214.0,41834.0,9.949390651268589,0.0295538012526722,1.092282392098027
ID112936,112936,246,0.49706771969795227,975.2210728251613,573.1025584233007,0.0,539.0,539,7.5,1,,185.1266968325792,185.0,165.0,207.0,40913.0,7.527661863447309,0.010426889829930577,0.5075616899302945
ID112939,112939,0,0.6688017249107361,678.0054463882984,635.2299088734719,0.0,539.0,539,7.5,1,,188.10407239819006,187.0,164.0,228.0,41571.0,9.163813798860676,0.014174188826543106,0.5737696844833234
ID112938,112938,226,0.8469758629798889,1244.5638150697366,603.4138992617944,0.0,539.0,539,7.5,1,,185.30316742081448,183.0,165.0,218.0,40952.0,10.477831095570181,0.021247172196546205,0.7358879913054709
ID112941,112941,2,1.3724924325942993,1475.9027722122175,785.5040050955506,0.0,539.0,539,7.5,1,,185.52488687782807,182.0,159.0,227.0,41001.0,14.278577902542107,0.035272729463837714,0.8853836727472844
ID112940,112940,,0.5034621953964233,633.3857951049293,785.2179146671074,0.0,539.0,539,7.5,1,,184.5158371040724,185.0,168.0,203.0,40778.0,6.916119041162186,0.011743218489387496,0.6193241608570028
ID112943,112943,239,0.9513565897941589,123.87391909106118,1025.6871719048802,0.0,539.0,539,7.5,1,,173.7737556561086,171.0,149.0,215.0,38404.0,11.885569513031994,0.02665089424640824,0.759072368763493
ID112942,112942,245,0.502376139163971,1296.9723671592956,827.9085268969527,0.0,539.0,539,7.5,1,,179.57466063348417,179.0,163.0,200.0,39686.0,6.866260759403553,0.011301229736652187,0.5845207403168894
ID112944,112944,222,0.8134748339653015,556.6054324802722,1073.6398163387178,0.0,539.0,539,7.5,1,,182.21719457013575,182.0,164.0,224.0,40270.0,10.124581845603995,0.021543811746473927,0.7591154040602959
ID112929,112929,250,0.503412663936615,1557.939667729387,868.0302528333161,0.0,540.0,540,7.5,1,,173.44343891402715,174.0,156.0,196.0,38331.0,7.378267530828549,0.010226772778880743,0.4759410955941072
ID112928,112928,245,0.5116243362426758,1297.9973699652496,828.5182928444522,0.0,540.0,540,7.5,1,,179.33484162895928,179.0,164.0,205.0,39633.0,6.901653859585532,0.009787489443090299,0.5037126015439516
ID112931,112931,222,0.820759654045105,559.10954256973,1074.6706149340012,0.0,540.0,540,7.5,1,,182.77828054298644,181.0,157.0,215.0,40394.0,9.690233074081796,0.022424955568588326,0.8274095133936339
ID112930,112930,239,0.9494413733482361,119.90389283100333,1024.5059421721742,0.0,540.0,540,7.5,1,,173.76470588235293,172.0,153.0,204.0,38402.0,10.496268753895873,0.027420782783815063,0.8836659588579797
ID112921,112921,242,0.9462239742279053,507.02605862656844,484.406023498893,0.0,540.0,540,7.5,1,,186.289592760181,184.0,168.0,225.0,41170.0,10.326370933274852,0.020351204086857286,0.7196333736030827
ID112920,112920,248,0.5967409610748291,1121.1042606784376,247.42905532151906,0.0,540.0,540,7.5,1,,182.67420814479638,182.0,165.0,207.0,40371.0,8.105145107339181,0.014356001425321376,0.6379542343563736
ID112923,112923,246,0.560809850692749,975.2198666466246,573.828715099281,0.0,540.0,540,7.5,1,,186.6108597285068,187.0,165.0,214.0,41241.0,7.648093623622101,0.013008415108116926,0.6266500053715599
ID112922,112922,249,0.6315521001815796,933.0934733167337,490.80629086668097,0.0,540.0,540,7.5,1,,186.0497737556561,185.0,166.0,220.0,41117.0,9.285485371532525,0.010355435633365388,0.41072271583501396
ID112925,112925,226,0.8584883809089661,1247.9839318961374,601.407936154465,0.0,540.0,540,7.5,1,,185.7420814479638,184.0,169.0,224.0,41049.0,10.332274818287056,0.02265587289813821,0.7965180785900199
ID112924,112924,1,1.0650941133499146,463.7939696153608,576.0748328146161,0.0,540.0,540,7.5,1,,189.60180995475113,189.0,166.0,217.0,41902.0,9.39026557762155,0.02998351412305022,1.175565568467137
ID112927,112927,2,1.3240668773651123,1475.9699078028311,785.3753108941795,0.0,540.0,540,7.5,1,,184.57013574660633,180.0,162.0,243.0,40790.0,15.016682071484185,0.03283234745558365,0.7814290370590627
ID112926,112926,0,0.8148864507675171,678.0311515929529,633.6613384344274,0.0,540.0,540,7.5,1,,191.15384615384616,190.0,169.0,233.0,42245.0,10.784409882023983,0.019292349714040716,0.6709698597486884
ID112899,112899,249,0.98582923412323,932.2076341067992,489.3683763067657,0.0,541.0,541,7.5,1,,189.74660633484163,188.0,169.0,238.0,41934.0,12.403410446462464,0.019591720351318072,0.5879077300369356
ID112898,112898,242,0.7109552025794983,504.1356247477677,482.3244451739869,0.0,541.0,541,7.5,1,,184.52036199095022,184.0,164.0,207.0,40779.0,9.265566354431167,0.015835595824165202,0.6208880551285951
ID112901,112901,1,1.0782405138015747,463.42426151086767,575.5393097039237,0.0,541.0,541,7.5,1,,189.92307692307693,189.0,170.0,216.0,41973.0,9.453160199755303,0.030364823658290224,1.184160186383566
ID112900,112900,246,0.5974190831184387,975.1212002244529,573.0526889557372,0.0,541.0,541,7.5,1,,186.38009049773757,186.0,161.0,215.0,41190.0,8.29459637852753,0.013564072823423229,0.6014134839692745
ID112903,112903,0,0.7404779195785522,680.2611550337074,633.331045118277,0.0,541.0,541,7.5,1,,189.47963800904978,188.0,161.0,217.0,41875.0,10.131220506892348,0.01651807388445074,0.6078201222826166
ID112902,112902,226,0.929461658000946,1252.0303524533065,599.0943515998547,0.0,541.0,541,7.5,1,,186.3891402714932,185.0,162.0,217.0,41192.0,10.917570062779035,0.02373957803209292,0.7917865401394591
ID112905,112905,245,0.5821787714958191,1297.1587530719094,828.1890860595604,0.0,541.0,541,7.5,1,,179.97285067873304,179.0,160.0,204.0,39774.0,7.721233151650542,0.012667486225992935,0.5831414322064352
ID112904,112904,2,1.3064019680023193,1475.7655549878766,785.4221496898904,0.0,541.0,541,7.5,1,,184.53846153846155,181.0,160.0,224.0,40783.0,14.06364156205689,0.03228203999804414,0.8206948386040902
ID112907,112907,239,0.9539374113082886,116.88325558408377,1024.3330109227475,0.0,541.0,541,7.5,1,,172.79638009049773,171.0,146.0,208.0,38188.0,11.0634198855492,0.026240320623755368,0.7987213693524987
ID112906,112906,250,0.5026377439498901,1557.5797026079365,868.8567929296076,0.0,541.0,541,7.5,1,,172.85972850678732,172.0,153.0,194.0,38202.0,7.531344074089301,0.010133255129427008,0.46049152462846266
ID112908,112908,222,0.8574442267417908,563.0012412978116,1076.2864864010303,0.0,541.0,541,7.5,1,,182.8054298642534,181.0,163.0,215.0,40400.0,10.00150749640975,0.023890883275805738,0.8529668495314573
ID112945,112945,248,0.48579078912734985,1124.806123602183,249.13908029603624,0.0,542.0,542,7.5,1,,181.45701357466064,181.0,163.0,203.0,40102.0,7.288484575298237,0.010177413435880335,0.5016563095095411
ID112947,112947,249,1.1550618410110474,931.9643072200498,487.3303383404911,0.0,542.0,542,7.5,1,,190.52036199095022,187.0,167.0,277.0,42105.0,16.58355680280932,0.022733012759734557,0.5107265462386283
ID112946,112946,242,0.6756703853607178,500.62320694796864,483.3630572094687,0.0,542.0,542,7.5,1,,183.97285067873304,184.0,160.0,213.0,40658.0,8.485237743514647,0.01345627320205826,0.5757573610774126
ID112949,112949,226,0.9827260375022888,1255.5017148285851,596.189275839265,0.0,542.0,542,7.5,1,,186.48868778280544,184.0,164.0,224.0,41214.0,11.58000269262354,0.025088847975136712,0.788302746119434
ID112948,112948,1,1.0594332218170166,463.7834756891369,575.8345047646077,0.0,542.0,542,7.5,1,,189.52941176470588,188.0,166.0,219.0,41886.0,9.732573896580819,0.02946024645816237,1.114565756001976
ID112951,112951,2,1.3175677061080933,1476.2144670965672,785.3141462523084,0.0,542.0,542,7.5,1,,184.49321266968326,181.0,159.0,239.0,40773.0,14.342124829739793,0.031549150487007,0.7868548660405195
ID112950,112950,0,0.6190016865730286,678.8661022294489,634.7238111704543,0.0,542.0,542,7.5,1,,187.7420814479638,188.0,165.0,225.0,41491.0,8.943331350670263,0.013579413767516339,0.5624909543408948
ID112953,112953,250,0.4974539577960968,1557.9198324749213,867.91512456023,0.0,542.0,542,7.5,1,,173.01809954751133,172.0,159.0,195.0,38237.0,7.320558722408221,0.01044147521759963,0.48845887189705245
ID112952,112952,245,0.5147731304168701,1297.4279787798528,827.7779692414957,0.0,542.0,542,7.5,1,,179.289592760181,179.0,158.0,198.0,39623.0,7.328483057516816,0.008787337069149815,0.42621492327710236
ID112955,112955,222,0.7621814012527466,564.5256247072206,1076.200981539382,0.0,542.0,542,7.5,1,,182.1447963800905,181.0,161.0,228.0,40254.0,9.942874679395729,0.023035062472004382,0.8249614877255316
ID112954,112954,239,0.9747315645217896,114.7238920685827,1023.1643034849187,0.0,542.0,542,7.5,1,,173.00904977375566,171.0,148.0,208.0,38235.0,11.505726222674848,0.027350581844118548,0.8006315114989148
ID112961,112961,226,0.9034916758537292,1257.3993014837629,594.1591582615624,0.0,543.0,543,7.5,1,,186.17194570135746,184.0,165.0,215.0,41144.0,10.59791275834076,0.023658521138865976,0.8120006581627295
ID112960,112960,1,1.0508085489273071,463.5704150270676,575.6441069155609,0.0,543.0,543,7.5,1,,189.2443438914027,189.0,163.0,222.0,41823.0,10.183053085187499,0.02991704246379263,1.079670684167927
